SiteName,SectorName,Longitude,Latitude,Azimuth,Beamwidth,Radius,PCI,Technology,SiteType,CellLabel
Yangon_001,YGN_001_1,96.1550,16.8400,30,65,280,101,LTE,Macro,YGN_001_1
Yangon_001,YGN_001_2,96.1550,16.8400,150,65,280,102,LTE,Macro,YGN_001_2
Yangon_001,YGN_001_3,96.1550,16.8400,270,65,280,103,LTE,Macro,YGN_001_3
Yangon_002,YGN_002_1,96.1650,16.8450,45,65,300,201,LTE,Macro,YGN_002_1
Yangon_002,YGN_002_2,96.1650,16.8450,165,65,300,202,LTE,Macro,YGN_002_2
Yangon_002,YGN_002_3,96.1650,16.8450,285,65,300,203,LTE,Macro,YGN_002_3
Yangon_003,YGN_003_1,96.1450,16.8500,0,65,250,301,LTE,Macro,YGN_003_1
Yangon_003,YGN_003_2,96.1450,16.8500,120,65,250,302,LTE,Macro,YGN_003_2
Yangon_003,YGN_003_3,96.1450,16.8500,240,65,250,303,LTE,Macro,YGN_003_3
Mandalay_001,MDY_001_1,96.0800,21.9800,10,65,280,401,LTE,Macro,MDY_001_1
Mandalay_001,MDY_001_2,96.0800,21.9800,130,65,280,402,LTE,Macro,MDY_001_2
Mandalay_001,MDY_001_3,96.0800,21.9800,250,65,280,403,LTE,Macro,MDY_001_3
Mandalay_002,MDY_002_1,96.0900,21.9850,20,65,300,501,LTE,Macro,MDY_002_1
Mandalay_002,MDY_002_2,96.0900,21.9850,140,65,300,502,LTE,Macro,MDY_002_2
Mandalay_002,MDY_002_3,96.0900,21.9850,260,65,300,503,LTE,Macro,MDY_002_3
Naypyitaw_001,NPT_001_1,96.1200,19.7600,15,65,280,601,LTE,Macro,NPT_001_1
Naypyitaw_001,NPT_001_2,96.1200,19.7600,135,65,280,602,LTE,Macro,NPT_001_2
Naypyitaw_001,NPT_001_3,96.1200,19.7600,255,65,280,603,LTE,Macro,NPT_001_3
Yangon_004,YGN_004_1,96.1700,16.8300,40,65,280,104,LTE,Macro,YGN_004_1
Yangon_004,YGN_004_2,96.1700,16.8300,160,65,280,105,LTE,Macro,YGN_004_2
Yangon_004,YGN_004_3,96.1700,16.8300,280,65,280,106,LTE,Macro,YGN_004_3
Bago_001,BGO_001_1,96.4800,17.3300,30,65,300,701,LTE,Macro,BGO_001_1
Bago_001,BGO_001_2,96.4800,17.3300,150,65,300,702,LTE,Macro,BGO_001_2
Bago_001,BGO_001_3,96.4800,17.3300,270,65,300,703,LTE,Macro,BGO_001_3
Yangon_005,YGN_005_1,96.1300,16.8700,5,65,250,107,LTE,Macro,YGN_005_1
Yangon_005,YGN_005_2,96.1300,16.8700,125,65,250,108,LTE,Macro,YGN_005_2
Yangon_005,YGN_005_3,96.1300,16.8700,245,65,250,109,LTE,Macro,YGN_005_3
